title course,price,image,durasi,jumlah murid,materi course
Menganalisa Website Menggunaka...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-88-200612120157.jpeg,04:07:05,"
 0 murid",  16 video
Membuat Database Menggunakan M...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-89-200611190255.png,08:12:31,"
 0 murid",  47 video
Ui Design For Website And Mobi...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-90-200612123508.jpeg,4:06:04,"
 0 murid",  25 video
Ux Design For Website,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-91-200612123529.jpeg,4:26:12,"
 0 murid",  9 video
Mendesign Web Interaktif Dan M...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-92-200612170021.jpeg,06:12:00,"
 0 murid",  23 video
Ethical Hacking Atau Penetreat...,Rp. 699.000,https://academy.babastudio.com/xxcourses/images/courses-93-190404142704.webp,06:30:20,"
 0 murid",  14 video
Make Website E Commerce With R...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-94-200612170006.jpeg,08:00:00,"
 0 murid",  26 video
Membuat Front End E Commerce D...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-95-200622113542.PNG,04:28:13,"
 0 murid",  43 video
Membuat Web E Commerce Dengan...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-96-200612123042.jpeg,10:12:51,"
 0 murid",  40 video
"Node Js Complete (Html, Css, J...",Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-97-200725123316.jpeg,04:43:00,"
 0 murid",  139 video
New Seo,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-99-200611181259.png,04:50:00,"
 0 murid",  31 video
Membuat Web E Commerce Dengan...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-100-200612122845.jpeg,10:32:14,"
 0 murid",  49 video
