title course,price,image,durasi,jumlah murid,materi course
Website Developer Platinum (Fu...,Rp. 4.000.000,https://academy.babastudio.com/course-package/images/packageCourse-4-200615124607.jpg,320:27:07,"
 173 murid",  31 materi kursus
Php Platinum (Back End),Rp. 3.000.000,https://academy.babastudio.com/course-package/images/packageCourse-6-200619120351.jpg,124:28:00,"
 69 murid",  11 materi kursus
Microsoft Platinum (Lengkap),Rp. 1.200.000,https://academy.babastudio.com/course-package/images/packageCourse-7-200615124625.jpg,352:17:02,"
 18 murid",  3 materi kursus
Internet Marketing Platinum (L...,Rp. 4.000.000,https://academy.babastudio.com/course-package/images/packageCourse-9-200615124639.jpg,10:43:28,"
 185 murid",  19 materi kursus
Paket Kursus Seo Pro,Rp. 2.200.000,https://academy.babastudio.com/course-package/images/packageCourse-14-200727135505.jpeg,60:38:55,"
 27 murid",  9 materi kursus
Design Grafis Platinum (Lengka...,Rp. 1.500.000,https://academy.babastudio.com/course-package/images/packageCourse-16-200615124701.jpg,230:34:45,"
 74 murid",  5 materi kursus
Web Design (Front End),Rp. 3.000.000,https://academy.babastudio.com/course-package/images/packageCourse-21-200619120412.jpg,40:44:13,"
 23 murid",  9 materi kursus
Mobile Apps Developer,Rp. 3.000.000,https://academy.babastudio.com/course-package/images/packageCourse-29-200619120458.jpg,50:12:34,"
 11 murid",  5 materi kursus
Membangun Corporate Website Me...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-1-200612122808.jpeg,10:32:14,"
 0 murid",  44 video
"Membuat Logo, Banner, Web Slic...",Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-2-200612163737.jpeg,04:40:45,"
 0 murid",  14 video
Membuat Cover Majalah Dan Desa...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-8-200612163754.jpeg,04:44:51,"
 2 murid",  23 video
Microsoft Word,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-10-200612113227.jpeg,04:17:36,"
 0 murid",  23 video
Mengelola Data Numerik Menggun...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-11-200612113208.jpeg,04:21:23,"
 0 murid",  39 video
Membuat Presentasi Yang Baik D...,Rp. 1.000.000,https://academy.babastudio.com/xxcourses/images/courses-12-200612113215.jpeg,06:09:23,"
 0 murid",  18 video
